,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
0,*UT/Hyde Park Craftsman Apartment,78705,0,102,1,232,0
1,Zen-East in the Heart of Austin (monthly rental),78702,0,179,7,26,0
2,"Eco friendly, Colorful, Clean, Cozy monthly share",78702,1,114,30,9,0
3,"Walk to 6th, Rainey St and Convention Ctr",78702,0,104,2,578,345
4,NW Austin Room,78729,1,39,1,264,0
5,Gem of a Studio near Downtown,78704,0,109,3,117,0
6,"Secluded Studio @ Zilker - King Bed, Bright & Airy",78704,0,149,3,262,213
7,Woodland Studio Lodging,78741,0,44,3,48,54
8,Historic house in highly walkable East Austin,78702,0,150,30,12,295
9,Quiet Mid Century Modern Retreat with Patio and Yard,78704,0,200,1,133,99
10,Close in Hill country views NW,78759,0,153,30,11,164
11,Garage Apartment near S Congress,78741,0,58,31,45,161
12,"OUTDOOR LIVING IN AUSTIN, TX",78731,0,350,2,33,336
13,Cozy Home in  N. Austin for Longer Stays,78758,1,35,30,5,271
14,Scooby Doo House,78705,0,117,30,31,365
15,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",78704,0,88,1,829,250
16,Colorful and Quirky Zilker Park Townhouse,78704,0,131,2,152,324
17,Enchanting Zilker Cottage~Downtown,78704,0,299,2,390,365
18,"Live Beneath Live Oaks in a Bright, Intimate House",78704,0,129,2,442,7
19,South 1st Garage Apartment - Ideally Central,78704,0,225,2,36,78
20,1 Bedroom Apt; Above the Studio,78704,0,150,2,160,0
21,"Private, Detached, Central Austin Cottage",78731,0,89,3,379,108
22,3BR Convenient Gated Townhome w/ Pool Access!,78727,0,280,2,39,360
23,Simple 2/2 in Central Austin,78705,0,97,30,53,227
24,Private Guest House 78704,78704,0,150,2,235,199
25,Charming 1 Bedroom Cottage Apt In Tarrytown,78703,0,119,2,366,324
26,Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,78703,0,151,2,236,365
27,Upstairs Flat in Central Austin,78722,0,110,2,202,147
28,EastSideLavishness- A Stay of Comfort and Joy,78702,0,297,2,164,308
29,Comfy Digs in East Austin,78702,0,400,2,16,0
30,The Travis Heights Tree House,78704,0,80,20,44,206
31,Room or rooms,78733,1,104,2,0,315
32,Sweet South Austin Spot,78704,0,179,2,38,343
33,Modern Gem featured by Dwell. Pool + HotTub.,78704,0,750,4,90,0
34,Downtown Luxury Home/ Clean/ PERFECT LOCATION,78701,0,240,1,6,0
35,Living the Dream on Richardine (East Austin),78702,0,75,7,4,21
36,Cool Hyde Park efficiency apartment,78751,0,109,2,357,69
37,Beautiful Zilker Park Condo next to Downtown!,78704,0,107,2,160,252
38,Beautiful Bouldin Cottage - 78704,78704,0,182,2,114,240
39,East-Side Bungalow,78702,0,225,4,34,0
40,Central Austin Home,78703,0,150,30,0,0
41,"Clean and quiet 3/2, in Mueller area.",78723,0,300,2,4,179
42,Fun Central Austin Convenience,78752,1,57,2,217,346
43,Campus Retreat,78705,0,81,2,16,0
44,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",78757,0,329,30,116,0
45,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",78704,0,161,1,101,362
46,Zilker Guesthouse,78704,0,101,2,187,21
47,South Austin Cottage 78704 - 2BR,78704,0,150,31,134,259
48,Spacious 1BR w/ Office in Hyde Park,78751,0,126,20,90,314
49,Avenue G Guesthouse in Hyde Park,78751,1,60,30,12,254
50,SXSW LAST MINUTE Downtown Space,78701,0,259,1,2,0
51,Austin City Limits-Private Pool by Nature Preserve,78736,0,295,3,67,287
52,Historic Hyde Park Home By Downtown,78751,0,142,20,79,323
53,1915 Home w/1BR With Modern Flare,78751,0,126,20,81,297
54,Maiden Lane Guesthouse,78705,0,150,30,202,245
55,TheTramHouse,78732,0,121,7,33,327
56,Barton Hills oasis! Bike/scooter to Zilker Park!,78704,0,699,4,16,336
57,SOCO ItZ bitZ Bungalow,78704,0,299,30,363,170
58,SXSW and ACL 4 bedroom in Austin!,78746,0,800,3,7,358
59,Light and Airy Central Austin Retreat with Gorgeous Patio,78752,0,271,2,336,320
60,78704  Austin Getaway Two Bedroom monthly rental.,78704,0,136,30,2,112
61,"Large Zilker Home, Downtown- SOCO-ACL!",78704,0,750,2,36,345
62,South Congress Studio Apartment,78704,0,79,1,831,278
63,Parkside Loft - Entire bottom floor or the house.,78703,1,175,3,13,69
64,Keep Austin Lovely in 2BR/1Ba Mid-Century Home!,78741,0,165,3,167,81
65,"Heart of east Austin–unique, bright, private haven",78702,0,174,3,105,80
66,New to Austin?  Perfect WFH Suite!,78754,1,29,30,24,224
67,SOCO Living,78704,0,250,2,8,0
68,Circa 1899 Luxe Spa House - Walk DT,78702,0,500,20,53,314
69,Modern Studio Loft,78751,0,110,28,110,225
70,The Iconic Allen's Boots Clubhouse!,78704,0,395,1,223,75
71,The Treehouse 1930's Hyde Park Home,78751,0,129,20,86,327
72,Hill House in Wonderful Bouldin!,78704,0,152,2,133,240
73,Lovely House In Hip East Austin,78723,0,175,2,1,0
74,Cute Eastside Bungalow -  Perfect Austin Base,78702,0,239,2,126,43
75,"» 3 bed, sleeps 5, 2 miles to DT",78704,0,110,30,94,262
76,Clean & Comfy South Austin Condo!,78704,0,250,3,34,335
77,One of a kind stay In the Heart of ATX,78703,0,235,1,97,251
78,Great House 1 block from Metro Rail SXSW,78702,0,350,3,43,364
79,3bedroom 2.5bath Kitchen Garage for 30days or more,78758,0,86,30,27,52
80,3bd+Loft...SOCO Area Convenience,78741,0,212,3,278,323
81,Stylish 3/2/2 with large backyard,78745,0,191,30,60,285
82,Historic SOUTHAustin Retro Groovy LOFT 78704 proud,78704,0,138,2,380,170
83,Spanish Hacienda mile from downtown,78702,1,60,2,296,333
84,Big cute clean Casita in SxSAustin!,78745,0,69,3,147,359
85,2 bdrm Condo at  360 Bridge,78730,0,350,4,0,0
86,Very convenient for SxSW,78745,0,600,3,2,365
87,"Hip, convenient home in 78704!",78704,0,400,3,9,0
88,Nature's Way Home in Central East Austin,78702,0,395,5,38,69
89,█ Swanky Townhome+Rooftop | Downtown | 6th Street!,78702,0,579,1,255,305
90,Quaint East Austin 2BR SXSW 2016,78702,0,694,4,2,0
91,The Perfect Austin Modern Home,78724,0,187,2,144,150
92,Avail ACL: 3/2 Mid-Century Mod-Central Austin,78704,0,679,2,1,0
93,3/2 House w/ Pool in Barton Hills,78704,0,500,1,13,0
94,Spacious 3/2 East Austin Home,78702,0,240,4,47,0
95,4th St Loft in Downtown Austin!,78701,0,178,1,362,0
96,Charming Central Austin Apartment,78705,0,82,30,0,9
97,"Dream Location, Jacuzzi, Fun, Arty 5-Bedroom House",78704,0,499,3,54,346
98,Central Austin Spacious  Guest House with balcony,78756,0,97,14,20,191
99,"Hillside designer home,10 min.dwntn",78746,0,495,3,6,336
100,"Urban Homestead, 5 minutes to downtown",78702,1,64,2,524,69
101,Entire Upstairs Near Apple & Domain with Hottub,78729,1,111,2,25,364
102,One Room with Private Bathroom,78725,1,100,2,0,0
103,House for rent in  North Austin,78754,1,109,1,0,0
104,RARE SECLUDED 1940s ESTATE  Safe Cleaning Protocol,78703,0,275,3,148,271
105,Solar Sanctuary - Zen Room,78704,1,102,2,146,9
106,Great SXSW East Central Apartment,78741,0,250,1,2,0
