,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Fully Furnished Cozy Apartment,Leonidas,29.961,-90.1195,Entire home/apt,60,1,478,183,0
1,Ravenwood Manor (Historic Bywater),Bywater,29.96153,-90.04364,Entire home/apt,130,3,245,332,0
2,Maison Marais 1: Large Local Living,St. Roch,29.96986,-90.05172,Entire home/apt,92,3,521,238,0
3,FeelAtHomeInNO PrivateApt,Seventh Ward,29.97803,-90.0745,Entire home/apt,75,4,524,9,0
4,Beautiful Room Uptown Home - License 17STR-10083,Marlyville - Fontainbleau,29.9447,-90.11289,Private room,89,3,39,280,1
5,Moon Over Mazant - Bywater's First and Finest!,St. Claude,29.96448,-90.03667,Entire home/apt,105,3,403,242,0
6,"Frenchmen House ""Red Room""",Marigny,29.96811,-90.05905,Private room,75,1,777,44,1
7,Historic UPTOWN NEW ORLEANS Resort,Central City,29.93608,-90.07997,Private room,347,2,5,365,1
8,Marginy BnoB by Frenchman!,Marigny,29.96364,-90.0591,Entire home/apt,125,3,415,293,0
9,Live Like a Local in Mid-City,Mid-City,29.97264,-90.09992,Entire home/apt,110,30,141,286,0
10,Studio in Unique Historical Creole Home,Bywater,29.96559,-90.02802,Private room,60,4,109,5,1
11,True NaWlins Flavor,St. Claude,29.96549,-90.04323,Entire home/apt,89,2,418,203,0
12,"Frenchmen House ""Rose Room""",Marigny,29.96811,-90.05905,Private room,75,1,731,33,1
13,Northside Bayou Quarters,Fillmore,30.01387,-90.08049,Private room,199,2,2,364,1
14,"2 Bed, 2.5 Bath Comfort near French Quarter",Treme - Lafitte,29.9678,-90.06675,Entire home/apt,210,3,198,167,0
15,Muse Suite- Near French Quarter,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,225,3,280,154,0
16,Quintessentially New Orleans,City Park,29.98111,-90.09505,Entire home/apt,327,2,209,128,0
17,La Boheme de Marigny - Historic Creole Cottage,Marigny,29.96524,-90.05901,Entire home/apt,475,2,81,134,0
18,Maison Marais 2,St. Roch,29.96929,-90.05172,Entire home/apt,92,3,505,254,0
19,NOLA JAZZ FEST GETAWAY UPSTAIRS,Fairgrounds,29.98201,-90.0778,Private room,90,2,142,234,1
20,AUTHENTIC NEW ORLEANS HOME!!!!!!!,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,176,2,119,259,0
21,Historic Irish Channel Corner Grocery - Charming!,Irish Channel,29.92078,-90.0849,Entire home/apt,79,3,180,26,0
22,Historic pied-Ã -terre on Esplanade,Marigny,29.96611,-90.06146,Entire home/apt,175,30,80,364,0
23,"Algiers Point, New Orleans LA - Funky NOLA Digs",Whitney,29.94995,-90.04538,Entire home/apt,70,30,11,326,0
24,Stylish Home Walking Distance to French Quarter Free Bikes,Bywater,29.96376,-90.04536,Entire home/apt,139,3,477,72,0
25,Charming Shotgun Cottage Uptown,East Riverside,29.92169,-90.08742,Entire home/apt,65,30,127,121,0
26,Little Gem,Marigny,29.96739,-90.05899,Entire home/apt,136,3,365,285,0
27,NOLA JAZZ FEST GETAWAT DOWNSTAIRS,Fairgrounds,29.9857,-90.0764,Private room,104,2,42,319,1
28,Ursulines Historic Creole Cottage 3 bed/3 bath,Treme - Lafitte,29.96661,-90.06484,Entire home/apt,306,1,119,162,0
29,Near bustling Magazine St w/BIKES!,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,120,30,169,244,0
30,Bayou St. John Cottage!!,Bayou St. John,29.97465,-90.08823,Entire home/apt,125,1,37,235,0
31,3 Blocks to Jazz Fest! Big Beautiful Best!Sleep 16,Fairgrounds,29.98149,-90.07425,Entire home/apt,707,30,146,365,0
32,Uptown home w/room to spread out!,Audubon,29.93357,-90.11427,Entire home/apt,541,30,35,197,0
33,Private oasis in the Marigny,Bywater,29.96464,-90.05142,Entire home/apt,96,3,538,16,0
34,"30 day minimum, long term rental only",French Quarter,29.96254,-90.06653,Entire home/apt,150,30,226,364,0
35,Oak Street Hangout...,Leonidas,29.94844,-90.13186,Entire home/apt,99,30,89,264,0
36,Studio condo1 in New Orleans,Central City,29.93579,-90.07948,Entire home/apt,257,2,5,359,0
37,"Spacious, Historic Treme Home with Vintage Charm",Treme - Lafitte,29.96587,-90.07053,Entire home/apt,375,2,51,330,0
38,1 Block to FQ and Frenchmen St -- Diamond Location,Marigny,29.96365,-90.05762,Entire home/apt,507,3,87,65,0
39,Half of The Okra Inn: On Canal Streetcar Line,Mid-City,29.97461,-90.09815,Private room,214,1,27,7,1
40,"Lovely Landmark, Great Monthly Rates!",Central City,29.93253,-90.08548,Entire home/apt,120,30,108,130,0
41,"Luxury Home, Excellent Location",Lower Garden District,29.93434,-90.07451,Entire home/apt,225,30,78,0,0
42,Bohemian Bywater Cottage (monthly rental),Bywater,29.96491,-90.04403,Entire home/apt,125,30,45,50,0
43,Avenue Style II; Great Monthly rates!,Leonidas,29.95774,-90.11987,Entire home/apt,140,30,76,293,0
44,Avenue Style - Great Monthly rates!,Leonidas,29.95917,-90.11974,Entire home/apt,120,30,56,295,0
