,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,"Alberta Arts 2 bedroom suite, charming 1906 house",Concordia,45.56488,-122.63418,Entire home/apt,89,3,591,353,0
1,Mt. Hood View in the Pearl District,Pearl,45.52564,-122.68273,Entire home/apt,140,30,127,365,0
2,Grandpa's Bunkhouse-Backyard Studio,Roseway,45.54804,-122.58541,Entire home/apt,129,3,243,365,0
3,Auntie's Hideaway--Daylight Downstairs Studio,Roseway,45.54793,-122.58358,Entire home/apt,133,3,206,358,0
4,Perfect Portland Place,Goose Hollow,45.52258,-122.69955,Entire home/apt,104,30,15,235,0
5,Mt. Tabor Bungalow,Mt. Tabor,45.50544,-122.61041,Private room,60,2,160,233,1
6,Historic Home Located in Central City,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,425,4,31,113,0
7,Free Standing Alley House with Garage,Sullivan's Gulch,45.53364,-122.63895,Entire home/apt,90,90,3,352,0
8,Sunny Queen Room FUN Alberta Arts,Sabin,45.55536,-122.65106,Private room,41,30,64,334,1
9,Room in Vintage Alberta Bungalow,Concordia,45.55687,-122.6317,Private room,60,2,172,88,1
10,Beautiful Apt near City Center!,Irvington,45.53836,-122.65159,Entire home/apt,185,1,216,312,0
11,Bright Friendly Home- Alberta Arts,Sabin,45.55593,-122.65029,Private room,37,30,67,167,1
12,Beautiful Newly-Remodeled Apartment,Richmond,45.51022,-122.63088,Entire home/apt,90,2,258,170,0
13,Second floor garden apartment,Cully,45.56089,-122.61845,Entire home/apt,85,2,68,354,0
14,Garden Hideaway near City Center!,Irvington,45.54005,-122.64988,Entire home/apt,125,1,142,313,0
15,"Upstairs, studio with bath, fridge",Montavilla,45.52959,-122.59081,Private room,70,3,75,365,1
16,"Luminous, Cosy Home near lively SE Division Street",Richmond,45.50529,-122.63201,Entire home/apt,77,5,26,10,0
17,Great Breakfast next to lively Division St,Richmond,45.50582,-122.63389,Private room,50,2,320,28,1
18,Foodie's Paradise & Everyone's Playground!,Boise,45.55083,-122.67567,Entire home/apt,102,28,85,83,0
19,Entire Home + Cottage • A Painted Lady Inn • 6 Bed,Irvington,45.53689,-122.64977,Entire home/apt,317,3,90,235,0
20,"Sweet 2 Room Suite, Private, Quiet",Overlook,45.56616,-122.67889,Private room,62,3,122,0,1
21,One Bedroom Artists Loft - Close to EvErYtHiNg,Old Town/Chinatown,45.52653,-122.67513,Entire home/apt,150,30,49,365,0
22,Opal 28 - King Suite Apt #3,Kerns,45.5236,-122.63458,Entire home/apt,92,2,212,80,0
23,"Blues,brews,and bicycle guesthouse",Overlook,45.55815,-122.69218,Private room,65,2,113,158,1
24,"large, sunny room in farmhouse",Overlook,45.55629,-122.69042,Private room,65,30,47,309,1
25,"Private, sunny room in farmhouse",Overlook,45.55748,-122.69207,Private room,65,2,41,314,1
26,Large COMFY Room in Alberta Arts,Sabin,45.55645,-122.64854,Private room,41,30,58,365,1
27,Rosebud Room,Hosford-Abernethy,45.50806,-122.64337,Private room,45,30,410,133,1
28,Condo in the Courtyard,Mt. Tabor,45.51203,-122.61079,Entire home/apt,43,30,36,213,0
29,Classic SE Portland: Walkable to Everything!,Sunnyside,45.518,-122.6322,Entire home/apt,236,4,35,19,0
30,Private flat in ideal Mt. Tabor location,Mt. Tabor,45.51431,-122.6097,Entire home/apt,75,2,362,336,0
31,GUEST SUITE SURROUNDED BY NATURE,Hayhurst,45.48203,-122.71903,Entire home/apt,75,2,117,201,0
32,"Cheerful, musical, eclectic home",Multnomah,45.46518,-122.71617,Private room,40,30,31,308,1
33,Japanese cabin + in fine-dining village,Concordia,45.56325,-122.63446,Entire home/apt,126,2,308,345,0
