,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Tiny Home in the Heart of the City- ECO FRIENDLY,Virginia Village,39.69551,-104.92489,Entire home/apt,79,1,96,329,0
1,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,Highland,39.76758,-105.00316,Entire home/apt,133,30,167,88,0
2,Lodo / RiNo LOFT  via airport train,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,362,0
3,Comfortable  - and a great value!,North Park Hill,39.75511,-104.91109,Private room,55,2,642,239,1
4,private,North Park Hill,39.75481,-104.91106,Private room,52,1,165,40,1
5,Alexandra's Queen Bed Room LONG-TERM RENTAL,North Capitol Hill,39.74695,-104.97838,Private room,33,30,256,290,1
6,Baker Studio Close to EVERYTHING,Baker,39.72166,-104.99864,Entire home/apt,100,1,77,233,0
7,Highland Park Guest House,West Highland,39.76179,-105.02845,Entire home/apt,85,4,105,319,0
8,LoHi Secret garden at Mulberry Cottage Monthly,Highland,39.76605,-105.00526,Entire home/apt,110,29,627,107,0
9,Comfy King Size Room (Park Hill),South Park Hill,39.7495,-104.93362,Private room,90,1,227,84,1
10,In the Heart of Downtown Denver,CBD,39.74439,-104.98927,Entire home/apt,67,90,11,336,0
11,Luxury Wash Park Home Great for Families & Groups,Washington Park,39.69691,-104.9611,Entire home/apt,400,5,28,201,0
12,treetop view bedroom  east dwntwn ./  4-8 weeks,South Park Hill,39.7435,-104.93753,Private room,46,29,126,118,1
13,Highland Snug,Highland,39.75895,-105.01036,Private room,75,30,11,313,1
14,2000 SF-Lodo Club Style Condo,Union Station,39.7515,-104.99473,Entire home/apt,165,30,2,326,0
15,"House on Stout: Prairie 
welcoming solo travelers",Five Points,39.75243,-104.98315,Private room,81,2,207,0,1
16,Washington Park Stunning Townhouse,Washington Park West,39.69845,-104.98073,Entire home/apt,223,29,144,183,0
17,Private room in the nest - w/bathroom,Baker,39.7172,-104.99767,Private room,65,29,107,219,1
18,Private room In the heart of Denver,City Park West,39.74348,-104.97089,Private room,55,3,345,59,1
19,Creative Haven in Artist’s Abode,Clayton,39.76574,-104.95379,Entire home/apt,115,2,63,82,0
20,Downtown and Modern by Hospital.,City Park West,39.74469,-104.96428,Entire home/apt,115,60,206,159,0
21,"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",City Park,39.74247,-104.95916,Private room,50,30,155,309,1
