,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Skylit Midtown Castle,Midtown,40.75356,-73.98559,Entire home/apt,150,30,48,338,0
1,"Whole flr w/private bdrm, bath & kitchen(pls read)",Bedford-Stuyvesant,40.68494,-73.95765,Entire home/apt,75,1,409,194,0
2,BlissArtsSpace!,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,365,1
3,"Spacious Brooklyn Duplex, Patio + Garden",Sunset Park,40.66265,-73.99454,Entire home/apt,275,5,2,123,0
4,Large Furnished Room Near B'wayã€€,Midtown,40.76457,-73.98317,Private room,68,2,507,192,1
5,Cozy Clean Guest Room - Family Apt,Upper West Side,40.8038,-73.96751,Private room,75,2,118,0,1
6,"Lovely Room 1, Garden, Best Area, Legal rental",South Slope,40.66801,-73.98784,Private room,98,4,204,322,1
7,Only 2 stops to Manhattan studio,Williamsburg,40.70935,-73.95342,Entire home/apt,89,30,181,179,0
8,Uptown Sanctuary w/ Private Bath (Month to Month),East Harlem,40.80107,-73.94255,Private room,65,30,0,365,1
9,UES Beautiful Blue Room,East Harlem,40.78778,-73.94759,Private room,62,30,234,309,1
10,"Amazing location! Wburg. Large, bright & tranquil",Williamsburg,40.71248,-73.95881,Private room,90,27,9,271,1
11,Perfect for Your Parents:  Privacy + Garden,Fort Greene,40.69121,-73.97277,Entire home/apt,199,2,280,334,0
12,2 Furnished bedrooms next to Central Park,East Harlem,40.79607,-73.94949,Private room,96,30,0,178,1
13,Sweet and Spacious Brooklyn Loft,Williamsburg,40.71778,-73.9568,Entire home/apt,299,30,9,365,0
14,"Maison des Sirenes1,bohemian, luminous apartment",Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,140,2,139,332,0
15,Midtown Pied-a-terre,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,30,58,0,0
16,Modern 1 BR / NYC / East Village,East Village,40.72712,-73.98598,Entire home/apt,175,10,43,65,0
17,Spacious 1 bedroom in luxe building,Harlem,40.81317,-73.95465,Private room,55,30,98,338,1
18,Large B&B Style rooms,Bedford-Stuyvesant,40.68294,-73.95682,Private room,82,30,77,316,1
19,"Lovely Room 2; Garden; Best area, Legal",South Slope,40.66692,-73.98981,Private room,108,4,195,325,1
20,Country space in the city,Flatbush,40.63702,-73.96327,Private room,150,30,0,0,1
21,ENJOY Downtown NYC!,East Village,40.72296,-73.98383,Private room,40,2,267,0,1
22,BEST BET IN HARLEM,Harlem,40.8114,-73.94296,Entire home/apt,250,30,107,364,0
23,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Long Island City,40.74757,-73.94571,Private room,145,3,310,208,1
24,Charming Brownstone 3 - Near PRATT,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,99,30,72,168,0
25,(E) RIGHT ON BUDGET,Jamaica,40.67144,-73.76501,Private room,75,2,70,365,1
26,Blue Room for 2 in Brownstone for $1350 monthly,Bedford-Stuyvesant,40.68064,-73.94039,Private room,80,2,155,280,1
27,* ORIGINAL BROOKLYN LOFT *,Williamsburg,40.70348,-73.93621,Entire home/apt,240,3,121,149,0
28,Greenpoint Place...Has It All!,Greenpoint,40.73535,-73.95584,Entire home/apt,99,30,179,95,0
29,Private Bliss Art Space 2,Bedford-Stuyvesant,40.68777,-73.94976,Private room,70,30,59,342,1
30,Best Location in NYC! TIMES SQUARE!,Hell's Kitchen,40.75611,-73.99523,Private room,84,2,346,288,1
31,"Bright 1bd Nolita Apt, Doorman, Elevator, Security",Nolita,40.72297,-73.99684,Entire home/apt,171,30,27,177,0
32,"Very, very cozy place",Williamsburg,40.71211,-73.96397,Private room,80,7,49,0,1
33,Sunny & Spacious Chelsea Apartment,Chelsea,40.74493,-73.99521,Entire home/apt,400,30,5,33,0
34,2 bedroom Upper East Side,Upper East Side,40.77119,-73.95241,Entire home/apt,206,30,84,247,0
35,Comfortable 4-bedroom apt in family house.,Prospect Heights,40.67839,-73.96642,Entire home/apt,140,30,154,157,0
36,Double Room w Private Deck Clinton Hill Best Area,Clinton Hill,40.69121,-73.96804,Private room,55,14,29,204,1
37,"Sunny, Modern room in East Village!",East Village,40.72489,-73.9781,Private room,95,1,429,46,1
