,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Nashville Charm,District 6,36.17315,-86.73581,Private room,40,30,674,199,1
1,Close to Vanderbilt 2,District 18,36.12523,-86.81278,Private room,60,1,267,233,1
2,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,District 18,36.13122,-86.80066,Entire home/apt,81,2,607,30,0
3,ButterflyRoom-private bath- open in oct,District 12,36.16249,-86.58988,Private room,36,30,96,354,1
4,"MorningstarHouse, monthly room- open sept",District 12,36.16102,-86.59207,Private room,34,30,76,354,1
5,"SuperSweetSTUDIO, jacuzzi, monthly, open Jan 1",District 12,36.16296,-86.59187,Private room,39,30,48,365,1
6,A+ Cottage & private courtyard! 5 mins to Downtown,District 19,36.1758,-86.7995,Entire home/apt,92,2,1111,108,0
7,"MorningstarHouse, monthly single room- open soon!",District 12,36.16128,-86.58986,Private room,34,30,77,351,1
8,Contemporary-Mod Paradise w/ Private Bathroom,District 6,36.16492,-86.7501,Private room,84,1,270,296,1
9,Private Entry Studio Suite/King/Wetbar/DT 5 min,District 19,36.1723,-86.7925,Entire home/apt,76,2,893,38,0
10,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",District 19,36.1758,-86.7995,Entire home/apt,227,2,443,173,0
11,Cozy and Convenient in Donelson!,District 14,36.15478,-86.64912,Private room,90,2,27,0,1
12,Admire the Skyline from the Rooftop Terrace at a Chic Suite,District 19,36.1723,-86.7925,Entire home/apt,142,2,364,43,0
13,Serenity Haven,District 6,36.18565,-86.71511,Private room,28,30,49,200,1
14,Heart of Music Row  Private Suite (600 sq FT),District 19,36.1447,-86.79014,Private room,129,2,404,283,1
15,Luxurious Rustic Cozy Guesthouse,District 7,36.21628,-86.70935,Entire home/apt,89,2,560,39,0
16,The Music City U.S.A Plantation,District 34,36.06981,-86.77374,Entire home/apt,1275,2,0,364,0
17,Downtown Great Getaway,District 21,36.18276,-86.80296,Entire home/apt,332,2,62,232,0
18,4 BEDS ★WALK to Downtown Nashville ★Pool & Parking,District 19,36.1754,-86.78193,Entire home/apt,155,1,278,334,0
19,Downstairs/Midweek only Designer Home n Music City,District 24,36.144,-86.82827,Private room,250,2,1,81,1
20,Private Carriage House,District 6,36.17509,-86.73581,Entire home/apt,95,2,499,143,0
21,The Fab GuesT QuarTers Suite,District 7,36.21235,-86.70461,Entire home/apt,109,3,219,15,0
22,Hotel-quality Two-bedroom Suite,District 7,36.2249,-86.72295,Entire home/apt,79,2,81,23,0
23,Private Suite in University Area,District 17,36.122,-86.78844,Entire home/apt,85,2,407,0,0
24,Designer's Home in Belmont/12South,District 18,36.12609,-86.79663,Entire home/apt,600,4,25,319,0
25,Music Row Midtown Apartment,District 19,36.14883,-86.79629,Entire home/apt,94,3,183,327,0
26,Valentino's Retreat,District 10,36.32114,-86.72644,Entire home/apt,135,2,65,347,0
27,East Nashville private duplex apt,District 7,36.18945,-86.72531,Entire home/apt,89,30,138,79,0
28,Take Time out by the Private Lake at Our Urban Oasis,District 6,36.17574,-86.72014,Private room,115,2,282,354,1
29,"Walk to Vandy, Downtown & Music Row - FREE SHUTTLE",District 19,36.14901,-86.78818,Private room,82,14,140,0,1
30,Walk to The Gulch -FREE SHUTTLE BUS,District 17,36.14584,-86.78634,Private room,71,1,76,0,1
31,Truly Central East Nashville Private Cozy Cottage,District 6,36.16794,-86.73759,Entire home/apt,111,2,239,336,0
32,Cozy Guesthouse in 12 S Neighborhood,District 18,36.12903,-86.79336,Entire home/apt,85,2,412,146,0
33,ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,District 7,36.22637,-86.70969,Entire home/apt,625,3,72,259,0
34,Heart of Historic East Nashville,District 6,36.17833,-86.74426,Entire home/apt,375,2,57,227,0
35,Entire Upstairs-2 Bedroom Private/Owner downstairs,District 6,36.17833,-86.74426,Entire home/apt,150,1,108,172,0
36,Cheapestead Cottage East Nashville,District 6,36.17649,-86.74237,Entire home/apt,90,2,350,300,0
37,Charismatic room in East Nashville,District 6,36.17868,-86.74394,Private room,70,2,135,0,1
38,Southern Hospitality - With 2 Rooms! Private Bath!,District 17,36.1254,-86.77825,Private room,90,4,149,350,1
39,"East Nash tucked away, retro, killer porch, view!",District 6,36.17622,-86.73512,Entire home/apt,174,1,115,221,0
40,"TRAVELERS PL  Blue Room 
Female, NS Only plz",District 12,36.18743,-86.59163,Private room,35,31,10,168,1
41,2BR Artsy Retro in East Nashville: Great Reviews!,District 7,36.19506,-86.71568,Entire home/apt,99,30,103,120,0
42,East Nashville Underground Apt.,District 7,36.1978,-86.70568,Entire home/apt,135,2,472,358,0
43,A Downtown Great GetAway!,District 21,36.17642,-86.80902,Entire home/apt,349,2,137,266,0
44,Private room in great location!,District 7,36.21661,-86.7255,Private room,50,1,166,0,1
45,"2 Master Suites, 30-day Rental 10 mins to downtown",District 16,36.10963,-86.74195,Entire home/apt,96,2,165,342,0
46,Cheap Vandy / Downtown Nashville CrashPad,District 19,36.14721,-86.78759,Shared room,500,1,7,89,2
47,Vintage style Eastside bungalow,District 7,36.20443,-86.72778,Private room,69,1,298,343,1
48,Cheap Downtown Crashpad (Solo Travelers Only),District 19,36.14717,-86.78754,Shared room,104,1,2,0,2
49,"3min to DWTN!/2 bds, 1.5bths/Private Suite",District 19,36.17074,-86.79057,Entire home/apt,113,1,512,97,0
50,Rustic Designer Suite near City Center,District 6,36.16137,-86.75327,Entire home/apt,140,30,405,95,0
51,Charming East Nashville Home,District 6,36.18854,-86.74452,Entire home/apt,100,30,54,63,0
52,Take It Easy at an Urban Cottage in East Nashville/near Dt,District 6,36.16976,-86.73837,Entire home/apt,175,1,449,320,0
53,Country in the city( NINE beds! East Nashville),District 6,36.1864,-86.71779,Entire home/apt,357,3,163,259,0
