,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,HARBORSIDE-Walk to subway,East Boston,42.36413,-71.02991,Entire home/apt,125,32,21,17,0
1,** Private! Minutes to center!**,Roxbury,42.32844,-71.09581,Entire home/apt,99,3,110,75,0
2,Home Away from Home! Condo,Roxbury,42.32802,-71.09387,Entire home/apt,250,3,116,127,0
3,Curved Glass Studio/1bd facing Park,Beacon Hill,42.35867,-71.06307,Entire home/apt,80,91,25,244,0
4,Bright 1bed facing Golden Dome,Downtown,42.35906,-71.06271,Entire home/apt,95,91,32,314,0
5,"Back Bay Apt-blocks to subway, Newbury St, The Pru",Back Bay,42.35061,-71.08787,Entire home/apt,116,29,5,365,0
6,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,North End,42.36377,-71.05206,Entire home/apt,106,33,2,365,0
7,Back Bay studio apartment,Back Bay,42.35164,-71.08752,Entire home/apt,75,91,0,0,0
8,Small Room in Cambridge Kendall MIT,Beacon Hill,42.35956,-71.0698,Private room,50,91,0,365,1
9,The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!,Dorchester,42.32212,-71.06096,Entire home/apt,111,30,52,200,0
10,COPLEY SQ...19TH C.TWNHSE SUNNY RM,South End,42.34487,-71.07441,Private room,148,29,315,89,1
11,"Luxury suite, Moroccan furnishings",Charlestown,42.37754,-71.06642,Entire home/apt,226,2,98,1,0
12,Private room & bath - Jamaica Plain,Jamaica Plain,42.31347,-71.11082,Private room,100,14,85,183,1
13,Gorgeous Garden Studio Charlestown,Charlestown,42.37424,-71.06081,Entire home/apt,125,29,131,86,0
14,Private Room with shared bath/Victorian House/ B,Dorchester,42.29871,-71.05954,Private room,70,1,331,107,1
15,Room in geographical heart of Hub,Roxbury,42.32546,-71.08894,Private room,80,29,142,99,1
16,Corner 1 bed facing Golden Dome,Downtown,42.35689,-71.06206,Entire home/apt,85,91,47,273,0
17,Waterfall Room: Bunker Hill B&B,Charlestown,42.37865,-71.06373,Private room,140,2,57,360,1
18,Beautiful Victorian House,Dorchester,42.29871,-71.05954,Private room,400,1,282,107,1
19,2 bed Duplex ApT! Location!,Roxbury,42.32806,-71.09423,Entire home/apt,241,3,236,127,0
20,Beautiful room with private bath/#2,Dorchester,42.29871,-71.05954,Private room,55,1,93,357,1
21,Private Room & private bath in Townhouse /#1,Dorchester,42.29871,-71.05954,Private room,50,1,47,250,1
22,Great 2BR in Boston near everything w free parking,Charlestown,42.37739,-71.06199,Entire home/apt,169,91,108,0,0
23,Beautiful 1 bedroom apt cld sleep 4,Charlestown,42.37823,-71.06778,Private room,245,29,0,134,1
24,In-Law Suite w/Room to Spare :-),Dorchester,42.30953,-71.0706,Entire home/apt,59,7,75,258,0
25,"Great Boston neighborhood , Jamaica Plain",Jamaica Plain,42.31331,-71.12061,Private room,60,30,50,68,1
26,Serene Studio in a Perfect Location,Jamaica Plain,42.31533,-71.11025,Entire home/apt,138,3,420,146,0
27,Beautiful Victorian House/Room C,Dorchester,42.29871,-71.05954,Private room,70,3,204,199,1
28,Treetop Haven in the City,Jamaica Plain,42.31685,-71.10867,Entire home/apt,102,3,224,250,0
29,Private room off the Freedom Trail.,North End,42.36614,-71.05226,Private room,150,3,261,0,1
30,BOSTON LUXURY FOR LESS!! NEAR BCEC,South Boston,42.33255,-71.04125,Entire home/apt,264,2,376,232,0
31,Beautiful Two BR & Two Bathroom Townhouse,Dorchester,42.29871,-71.05954,Entire home/apt,149,1,114,250,0
32,Room in a Beautiful Victorian House/A,Dorchester,42.29871,-71.05954,Private room,45,10,26,362,1
33,Private Room in Spacious Apartment1,Dorchester,42.30066,-71.08207,Private room,68,91,24,363,1
34,"Sweet Little House in JP, Boston",Jamaica Plain,42.31658,-71.11012,Private room,71,3,336,237,1
35,"Private Floor, Private Bath, City Location",Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,0,1
36,"Great location, sunny 1-bedroom!",Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,0,0
37,BACK BAY/COPLEY FIRST FLOOR ROOM,South End,42.34491,-71.07368,Private room,148,29,175,89,1
