,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Amazing bright elegant condo park front *UPGRADED*,Culver City,33.98301,-118.38607,Entire home/apt,115,30,2,226,0
1,Runyon Canyon | Beau Furn Mirror Mini-Suite Firplc,Hollywood,34.09625,-118.34605,Private room,89,30,33,327,1
2,Zen Life at the Beach,Santa Monica,34.0044,-118.48095,Private room,167,7,21,359,1
3,* Beautiful Master Suite/Jacuzzi Tub/*,Bellflower,33.8749,-118.11515,Entire home/apt,50,30,0,0,0
4,Hollywood Hills Zen Modern style Apt/Guesthouse,Hollywood Hills West,34.1116,-118.38223,Entire home/apt,118,31,23,308,0
5,Tiny Home in Artistic Oasis near Venice and LAX,Del Rey,33.9875,-118.432,Private room,50,30,312,148,1
6,Zen Room with Floating Bed near Venice and LAX,Del Rey,33.9875,-118.432,Private room,65,30,233,121,1
7,Artist Oasis near Venice Beach w/ Beautiful Garden,Del Rey,33.9875,-118.432,Entire home/apt,130,30,128,0,0
8,Poolside Serenity Studio,Woodland Hills,34.16887,-118.64478,Entire home/apt,89,30,25,84,0
9,Run Runyon | Beau Furn Rm Dres Rm/Walk-In Clst Ter,Hollywood,34.0949,-118.34766,Private room,109,30,29,289,1
10,"Quiet,Walkable Area/Sanitized/CozySpot",Atwater Village,34.11364,-118.26068,Entire home/apt,117,1,253,140,0
11,City Place Lofts,Long Beach,33.77202,-118.18852,Private room,80,31,393,0,1
12,"Bright Apt, walk to Venice Beach",Venice,33.99782,-118.47698,Private room,85,30,51,359,1
13,CASAMIGOS,Mid-Wilshire,34.0546,-118.35495,Private room,74,30,45,84,1
14,1 King Bed Room - Hotel Sea Rock Inn - Los Angeles,Gardena,33.90507,-118.29217,Private room,88,1,59,358,1
15,Craftsman Duplex-Hollywood!,Hollywood Hills,34.11408,-118.32234,Entire home/apt,195,30,7,339,0
16,Le petit bungalow private entrance + bikes in VB,Venice,33.99573,-118.47216,Entire home/apt,95,30,46,75,0
17,Burnham Beach Cottage 1,Redondo Beach,33.83931,-118.38638,Entire home/apt,153,2,201,306,0
18,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",Hollywood Hills,34.11834,-118.31997,Entire home/apt,312,5,33,31,0
19,Burnham Beach Cottage 2,Redondo Beach,33.83931,-118.38638,Entire home/apt,160,2,169,328,0
20,*****Modern & Chic Spanish Bungalow @ Casa Redondo,Mid-City,34.04244,-118.3522,Entire home/apt,149,3,70,341,0
21,The Enchanted Manor-Private Oasis,Valley Village,34.16497,-118.41157,Private room,495,2,7,335,1
22,Bohemian home w/detached Studio & Rooftop Jacuzzi,Venice,33.99179,-118.45056,Entire home/apt,282,30,3,0,0
23,Bohemian home w/rooftop jacuzzi  & tiki bar,Venice,33.99117,-118.45159,Entire home/apt,207,2,57,3,0
24,Eco-friendly Private Room in Silverlake House,Silver Lake,34.08363,-118.2843,Private room,75,30,253,365,1
25,"Private Studio, 6 Doors to Beach",Venice,33.98047,-118.46514,Entire home/apt,129,3,515,109,0
26,Mondrian-Inspired Studio With Breathtaking Views And Light,Hollywood Hills,34.11187,-118.32479,Entire home/apt,229,5,43,68,0
27,"Experience Angeleno Magazine's ""Best Rental In Hills""",Hollywood Hills,34.11374,-118.32503,Entire home/apt,209,5,54,63,0
28,Green Sputnik in Highland Park,Highland Park,34.12057,-118.18934,Entire home/apt,188,1,289,121,0
29,Cactus Flower - Modernist Solar Guesthouse with Large Garden,Venice,34.0025,-118.4657,Entire home/apt,297,3,161,151,0
30,Sleek New York Style Loft With Jaw-Dropping Hollywood Views,Hollywood Hills,34.11957,-118.32013,Entire home/apt,212,5,35,95,0
31,Beach Bungalow one block to ocean,Venice,33.98798,-118.47245,Entire home/apt,130,30,271,364,0
32,2block from beach-Historic Bungalow discount/month,Redondo Beach,33.83889,-118.38537,Entire home/apt,160,4,354,267,0
33,"Experience the Wolford House, a Mid Century Hilltop Jewel",Mount Washington,34.10942,-118.22003,Entire home/apt,305,30,145,41,0
34,Charming accommodations in Westwood/West LA,West Los Angeles,34.04579,-118.44166,Entire home/apt,93,30,19,359,0
35,Asian Pacific Suite,Woodland Hills,34.1674,-118.64293,Private room,89,30,30,25,1
36,Cozy Bed Room in  Westwood/ West L.A area,West Los Angeles,34.04508,-118.44076,Private room,94,30,0,365,1
37,2BR DWELL Inspired Escape InThe Sky Peace+Privacy,Hollywood Hills,34.11212,-118.32526,Entire home/apt,289,5,36,73,0
38,Charming & cozy room with breakfast!!,Los Feliz,34.10291,-118.28698,Private room,90,30,186,365,1
39,"Privt CondoApt, Kitchenette, Pool, Gated Prkg,WiFi",Tarzana,34.17309,-118.53169,Entire home/apt,59,76,11,88,0
40,The Zanja Shangri-La,Culver City,33.99327,-118.44407,Entire home/apt,175,2,147,177,0
41,Malibu Guest house/ near beach,Malibu,34.01451,-118.8064,Entire home/apt,188,30,332,0,0
42,Luxury Beachfront Santa Monica Home,Santa Monica,34.00774,-118.49441,Entire home/apt,1200,31,0,365,0
43,👨‍👩‍👧‍👦Home Away from 🏡Home🛋️ furnished🛏 Sleeps 4 🌠🌠🌠🌠🌠,Torrance,33.7996,-118.34894,Entire home/apt,125,30,28,84,0
44,2 rm suite with kitchenette full bath private entr,Jefferson Park,34.03419,-118.33101,Entire home/apt,106,1,94,33,0
45,Spacious Soothing Hillside Hideaway Views+Zen Vibe,Hollywood Hills,34.11319,-118.32303,Entire home/apt,303,5,4,61,0
46,Hollywood Hills  Private Br Suite-HSR19-004287,Hollywood Hills West,34.10788,-118.37879,Private room,61,30,8,284,1
47,Nice room for a nice price,Mid-City,34.03926,-118.38017,Private room,59,30,12,347,1
48,Arts District Private Room 212,Downtown,34.04828,-118.23605,Private room,46,2,89,324,1
49,Heart of Hollywood- The Original!,Hollywood,34.09385,-118.33157,Entire home/apt,155,31,94,90,0
50,Perfect Bedroom in Nice House with lovely pets!,Van Nuys,34.19816,-118.45888,Private room,50,2,76,22,1
51,"Motel rm $450 week,wifi,micro/fridg",Lynwood,33.91942,-118.20913,Private room,70,1,242,180,1
52,Cute Home in Mount Washington,Mount Washington,34.10632,-118.22361,Private room,54,30,24,303,1
53,Silver Lake Cottage Oasis- Private Terrace- Thirty Night Min,Silver Lake,34.09574,-118.27788,Entire home/apt,135,30,152,27,0
54,"Motel Rm $450week , Free wifi /ac/micro/fridge",Lynwood,33.91942,-118.20913,Private room,70,1,199,178,1
55,Private Silverlake Guesthouse,East Hollywood,34.08574,-118.28536,Entire home/apt,150,30,263,365,0
56,3 Bed Designer House - Fire Pit Lounge & Hot Tub,Culver City,34.01269,-118.40788,Entire home/apt,300,4,157,40,0
57,Malibu Ocean View Rooms for Rent 3,Malibu,34.0309,-118.75528,Private room,450,2,161,358,1
58,One Bedroom in Venice/MarinadelRey,Culver City,33.99344,-118.44295,Private room,100,2,3,0,1
59,garden single studio apartment,Glendale,34.15533,-118.23708,Entire home/apt,70,7,24,220,0
60,Guest House - Nightly or Weekly,Hollywood,34.09641,-118.34979,Entire home/apt,110,5,126,92,0
61,Spanish Bungalow Guest House LA CA. 30 plus nights,Atwater Village,34.12206,-118.26783,Entire home/apt,75,30,138,54,0
62,Guest House With Its Own Entrance/Exit and Hot Tub,Mar Vista,34.00389,-118.44126,Entire home/apt,156,2,348,358,0
63,Cool Pad Under the Hollywood Sign,Hollywood Hills,34.11874,-118.32113,Entire home/apt,100,31,184,320,0
64,Panoramic Ocean View Studio Loft,Santa Monica,34.01384,-118.49728,Private room,150,30,382,362,1
65,Beverly Hills Large 1-Bdr Near Everything,Beverly Hills,34.06118,-118.39804,Entire home/apt,155,4,117,263,0
66,Historical Queen Anne Victorian,Pasadena,34.15227,-118.10359,Private room,85,60,34,364,1
67,Ocean View Studio/ 2 beds/ AMAZING!,Santa Monica,34.01389,-118.49724,Hotel room,189,30,146,363,3
68,Cheerful Beverly Hills Apartment,Carthay,34.06171,-118.37258,Entire home/apt,135,31,142,365,0
69,Furnished Bedroom /Hollywood Hills -HSR19-004287,Hollywood Hills West,34.10998,-118.38152,Private room,69,30,9,280,1
70,Find Peace at an Urban Oasis with Floor-to-Ceiling Glass,Venice,33.99122,-118.46898,Entire home/apt,417,30,25,219,0
71,Tranquil Artist Retreat w/ Patio,Glassell Park,34.11082,-118.23036,Entire home/apt,78,30,10,193,0
72,VIEWS! HOLLYWOOD SIGN - DOWNTOWN #1,Hollywood Hills,34.11344,-118.32399,Private room,131,2,116,299,1
73,Hollywood Hills Architectural Home,Hollywood Hills,34.12769,-118.32167,Entire home/apt,220,31,17,262,0
74,Tranquil Guesthouse Oasis with a Hot Tub,Culver City,34.00985,-118.40798,Entire home/apt,134,1,623,251,0
75,Hollywood Bungalow/Pool/GuestHouse,West Hollywood,34.08187,-118.38965,Entire home/apt,375,31,16,233,0
76,Beautiful Garder View,La Mirada,33.89581,-118.02588,Shared room,901,1,0,365,2
77,L.A. Lifestyle--like you live here,Mid-City,34.03833,-118.33662,Private room,113,2,616,290,1
78,Large and Lovely Bedroom in a Craftsman Home,Harvard Heights,34.04236,-118.30637,Private room,47,4,40,229,1
79,Spacious & Pristine Poolside Studio Near Lake Balboa Park,Encino,34.18177,-118.52621,Entire home/apt,114,2,144,236,0
80,Sunny Room in town house nr Long Beach…,Lakewood,33.8465,-118.08244,Private room,57,2,50,304,1
81,"Arrival Haven II, The Artist Studio",Mid-Wilshire,34.06022,-118.33944,Private room,75,31,17,365,1
82,BECAUSE REVIEWS DON'T LIE! 420 OK by LAX & SOFI!,Ladera Heights,33.98522,-118.3616,Entire home/apt,130,3,693,315,0
83,modern minimalist *city views*patio,Silver Lake,34.08197,-118.27831,Entire home/apt,125,30,292,302,0
84,Guest Quarters @ the Hollywood Sign,Hollywood Hills,34.12801,-118.31919,Entire home/apt,110,30,484,123,0
85,Cozy secluded Guesthouse in Garden,Mid-Wilshire,34.05798,-118.35541,Entire home/apt,119,30,183,310,0
86,Hollywood Hills 1BR oasis *** 1 MONTH MINIMUM ***,Hollywood Hills,34.10943,-118.34073,Entire home/apt,90,31,111,307,0
87,"Motel Rm for rent ,Free Wifi and Parking $450Week",Lynwood,33.91942,-118.20913,Private room,70,1,265,180,1
88,Zen Hollywood Hills Escape. Views Value Peace+Pvcy,Hollywood Hills,34.12018,-118.32051,Entire home/apt,218,5,8,46,0
89,Privacy is yours. Private Room Private Bath,North Hills,34.24135,-118.46301,Private room,69,30,66,89,1
90,Mid Century 4+3 Ranch- Near Malibu Beach/Calabasas,Woodland Hills,34.16708,-118.64441,Entire home/apt,299,30,130,143,0
91,Charming Centrally Located Private Room/Bath,Mid-Wilshire,34.05467,-118.36356,Private room,115,30,21,364,1
92,Tujunga Canyon Bungalow,Tujunga,34.25419,-118.28138,Entire home/apt,90,30,26,127,0
93,Vintage and private - walk to Sunset & Views,Silver Lake,34.08195,-118.2784,Entire home/apt,125,30,270,302,0
94,GoodVibeStudio+Venice Bch+LAX+Bikes,Westchester,33.96731,-118.41919,Entire home/apt,115,30,461,83,0
95,Vintage Charming Guest House,Mid-City,34.03948,-118.34081,Entire home/apt,105,180,1,365,0
96,Ocean Views on Ocean Avenue!,Santa Monica,34.01418,-118.49738,Hotel room,175,30,189,363,3
97,Private Apt. in Heart of City!  S.B,Fairfax,34.07782,-118.35833,Entire home/apt,77,30,104,37,0
98,Private room in a cozy creative home,Woodland Hills,34.15504,-118.6031,Private room,59,30,26,0,1
99,Motel Rm 2beds/micro/fridge/AC/wifi,Lynwood,33.91942,-118.20913,Private room,80,1,92,146,1
100,Charming Spanish Home by the Beach,Santa Monica,34.03735,-118.49205,Entire home/apt,550,330,18,66,0
101,Peaceful Private Suite in Gorgeous Penthouse,Hollywood Hills,34.10798,-118.3323,Private room,75,30,15,92,1
102,Budget Accommodation Beachside!,Santa Monica,34.01204,-118.49715,Hotel room,128,1,493,242,3
103,Lovely Echo Park Studio,Echo Park,34.07332,-118.26331,Entire home/apt,100,30,220,243,0
104,SUPER COZY Mid Century LA House with city view.,Mount Washington,34.09159,-118.21954,Entire home/apt,175,30,262,0,0
105,Fab 2 BD House Near the Grove A3,Fairfax,34.08023,-118.34657,Entire home/apt,139,30,113,0,0
106,Stand Alone Studio Cottage Retreat,Carson,33.8271,-118.27944,Entire home/apt,74,5,411,266,0
107,Silver Lake Cottage (Los Angeles 90026),Silver Lake,34.08587,-118.2648,Entire home/apt,83,30,193,277,0
108,"AMAZING PRICE, HUGE  TOWNHOUSE IN NOHO",North Hollywood,34.17324,-118.38833,Private room,59,30,17,353,1
109,"Cali, Cozy, Rustic Log Cabin Feel",Mid-City,34.04884,-118.37155,Private room,80,30,12,283,1
110,Executive 1 Bedroom Suite-LUXURY!!!,West Hollywood,34.09513,-118.36875,Entire home/apt,125,30,29,286,0
111,Motel Rm $450wk /free wifi and parking,Lynwood,33.91942,-118.20913,Private room,70,1,73,180,1
112,Updated Mid-Century Property by Angeles National Forest,Altadena,34.20977,-118.16546,Entire home/apt,100,1,30,338,0
113,BEVERLY HILLS APT,Beverly Hills,34.06547,-118.40422,Entire home/apt,149,3,72,281,0
114,"Cypress in Quiet Canyon: Gourmet Kitchen, W/D, Prk",Echo Park,34.08839,-118.24838,Entire home/apt,110,30,12,20,0
