,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Walk to stores/parks/downtown. Fenced yard/Pets OK,28801,35.6067,-82.55563,Entire home/apt,120,30,89,344,0
1,Cottage! BonPaul + Sharky's Hostel,28806,35.57864,-82.59578,Entire home/apt,90,1,347,244,0
2,"Private Room ""Ader"" at BPS Hostel",28806,35.57864,-82.59578,Private room,66,1,67,0,1
3,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",28806,35.57864,-82.59578,Shared room,33,1,296,262,2
4,Historic Grove Park,28801,35.61442,-82.54127,Private room,125,30,58,0,1
5,Tranquil Room & Private Bath,28806,35.57808,-82.63689,Private room,45,2,42,88,1
6,Terrace Cottage,28804,35.61856,-82.55276,Entire home/apt,134,30,57,280,0
7,Asheville Dreamer's Cabin,28805,35.59635,-82.50655,Private room,68,3,57,37,1
8,"Private, peaceful, and free goat therapy",28805,35.61929,-82.48114,Entire home/apt,76,1,629,149,0
9,The Fern Street Apt near Biltmore,28803,35.55537,-82.53539,Entire home/apt,50,90,32,262,0
10,Refocus Cottage - paradise,28804,35.64453,-82.52586,Entire home/apt,289,30,24,244,0
11,Athena's Loft:  Find yourself here!,28806,35.58217,-82.59997,Entire home/apt,75,2,512,105,0
12,Luxurious Mountain Guest Suite Apartment,28803,35.49111,-82.48438,Entire home/apt,125,2,47,348,0
13,Historic Arts and Craft Home,28801,35.57771,-82.56094,Entire home/apt,134,30,109,120,0
14,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",28801,35.60182,-82.56174,Entire home/apt,132,2,334,28,0
15,"Romantic, Moroccan-Influenced Cottage",28803,35.56118,-82.57784,Entire home/apt,137,1,580,324,0
16,Walk Downtown private bath peaceful,28801,35.60371,-82.55621,Private room,80,2,402,354,1
17,Urban Getaway - Perfect Location,28801,35.61115,-82.54376,Entire home/apt,75,30,133,139,0
18,Dwntwn Studio w/ lots of character,28801,35.60075,-82.5539,Entire home/apt,55,90,354,170,0
19,The birdhouse.Sweet suite! Downtown Roof top deck!,28801,35.60418,-82.54964,Entire home/apt,158,30,103,177,0
20,Walkable West Asheville,28806,35.58323,-82.59206,Entire home/apt,125,14,8,0,0
21,Private Home 1 mile to downtown,28804,35.621288,-82.553017,Entire home/apt,91,1,568,330,0
22,Lovely mountain home with a view!,28805,35.62272,-82.50285,Private room,47,2,220,323,1
23,#2 Blue Ridge Room at Oakland Cottage B&B,28801,35.57468,-82.55705,Private room,175,2,13,294,1
24,Come Home in West Asheville!,28806,35.57805,-82.58342,Entire home/apt,95,1,100,0,0
25,â¤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,28801,35.58395,-82.56161,Entire home/apt,239,2,459,337,0
26,Town and Mountain Peaceful Retreat,28804,35.64271,-82.51219,Entire home/apt,198,2,121,319,0
27,Asheville artist  bungalow. 3 minutes to downtown,28805,35.58617,-82.50657,Private room,65,2,161,358,1
28,West A'ville sanctuary in the trees,28806,35.56893,-82.59475,Entire home/apt,102,3,762,277,0
29,Comfy Home in W.AVL - Special Holiday Rates,28806,35.60321,-82.5961,Entire home/apt,150,2,17,261,0
30,"""ZenShe"" Private Guest Quarters and Entrance",28806,35.57312,-82.59092,Private room,71,3,571,163,1
31,"Asheville Montford Cottage, Walk To Town, 30 Days",28801,35.6117,-82.57668,Entire home/apt,332,3,140,354,0
32,Montford Home 1.5 mi to DownTown,28801,35.605,-82.57262,Entire home/apt,160,3,167,0,0
33,Urban Peace 5 ml from Downtown AVL,28803,35.55544,-82.48361,Entire home/apt,151,2,163,2,0
34,The Cottage In Asheville,28804,35.6157,-82.55594,Entire home/apt,130,30,76,230,0
35,Serene West Asheville Home with a Mountain View.,28715,35.56922,-82.64731,Entire home/apt,165,2,115,74,0
36,The Cottage on Parkway Loop,28803,35.55144,-82.49132,Entire home/apt,105,2,231,219,0
37,Blend City and Country at Lucky W Cottage,28804,35.6461,-82.51605,Entire home/apt,147,2,565,340,0
38,"Modern Meets Zen, Rest & Restore - West Asheville",28806,35.57381,-82.59377,Private room,95,2,299,173,1
39,# 1) Downtown Get Around,28801,35.59942,-82.56189,Entire home/apt,95,30,264,65,0
40,"Kickback, Relax in a Private Suite with a Simple Breakfast",28801,35.60622,-82.56569,Private room,95,2,181,0,1
41,"Lovely, peaceful mountain retreat",28805,35.62277,-82.50215,Entire home/apt,57,2,103,289,0
42,Mid Century Modern Basement Apt..,28805,35.58247,-82.49987,Entire home/apt,115,3,86,228,0
43,Explorers Retreat Near Downtown Asheville,28804,35.62447,-82.57928,Entire home/apt,166,3,60,44,0
44,HUGE SUITE (king bed) & huge bath-PRIVATE ACCESS,28704,35.46158,-82.53984,Private room,80,1,112,346,1
45,Garden studio between Asheville +  Biltmore Estate,28803,35.57597,-82.53695,Entire home/apt,158,2,129,167,0
46,Cute Asheville Area Bungalow 7 Miles to Downtown,28715,35.56843,-82.65529,Entire home/apt,85,3,12,0,0
47,Refocus Five - furnished 3BR home. Great location,28804,35.64455,-82.52651,Entire home/apt,236,30,25,340,0
48,Charming cottage bordered by stream,28801,35.61156,-82.55237,Private room,70,30,39,364,1
49,Perfectly Located Studio Apartment In Asheville,28803,35.57357,-82.53846,Entire home/apt,85,2,102,70,0
