,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,"Bright, Modern Garden Unit - 1BR/1BTH",Western Addition,37.77028,-122.43317,Entire home/apt,161,2,314,126,0
1,Creative Sanctuary,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,365,0
2,A Friendly Room - UCSF/USF - San Francisco,Haight Ashbury,37.76555,-122.45213,Private room,56,32,19,365,1
3,Friendly Room Apt. Style -UCSF/USF - San Francisco,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,365,1
4,Historic Alamo Square Victorian,Western Addition,37.77564,-122.43642,Entire home/apt,895,7,28,364,0
5,"Mission Sunshine, with Private Bath",Mission,37.7603,-122.42197,Private room,169,13,736,171,1
6,Victorian Suite in Inner Mission,Mission,37.75831,-122.41386,Entire home/apt,150,30,341,334,0
7,Classic Nob Hill Studio - Roof Deck,Nob Hill,37.79249,-122.41499,Entire home/apt,120,30,18,212,0
8,Haight Buena Vista Park Garden 3BR,Haight Ashbury,37.77025,-122.43836,Entire home/apt,170,30,38,364,0
9,Victorian House in Hayes Valley - 3BED-2BA,Western Addition,37.77424,-122.42441,Entire home/apt,166,30,15,0,0
10,Union Square Modern Loft,Downtown/Civic Center,37.78527,-122.40861,Entire home/apt,116,30,20,365,0
11,Cozy Nob Hill Nook 2BR 1BA mo rental w parking,Nob Hill,37.7914,-122.41149,Entire home/apt,135,30,41,176,0
12,Sunny/Sunset view room UCSF/USF - San Francisco,Haight Ashbury,37.76901,-122.44701,Private room,65,32,6,365,1
13,Sunny/Sunset view room UCSF/USF - San Francisco,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,365,1
14,Perfectly located Castro,Castro/Upper Market,37.76237,-122.42992,Private room,79,3,427,5,1
15,Loft-like Apt./Garden (monthly only available),Noe Valley,37.74916,-122.42971,Entire home/apt,84,30,65,180,0
16,Lower Haight Urban Zen With Private Bath,Western Addition,37.77247,-122.43301,Private room,110,3,414,75,1
17,Studio loft on top of Russian Hill,Nob Hill,37.7962,-122.41562,Entire home/apt,130,30,122,318,0
18,Castro Guest Suite With Continental Breakfast,Castro/Upper Market,37.75818,-122.44153,Entire home/apt,155,3,412,156,0
