,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
0,Casa Madrona - Urban Oasis 1 block from the park!,Madrona,47.61094,-122.29286,Entire home/apt,333,7,36,332,0
1,"Fab, private seattle urban cottage!",Wallingford,47.65444,-122.33629,Entire home/apt,99,3,157,0,0
2,Glorious sun room w/ memory foambed,Georgetown,47.55017,-122.31937,Private room,62,2,154,365,1
3,The Adorable Sweet Orange Craftsman,Fairmount Park,47.55495,-122.38663,Entire home/apt,185,2,54,269,0
4,The Coolest Tangerine Dream MIL!,Fairmount Park,47.55627,-122.38607,Entire home/apt,145,5,59,202,0
5,"the down home , spacious, central and fab!",Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,83,0
6,Luna Lower - West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,143,3,77,351,0
7,"Beautiful, Private Spot in Quiet Ballard",Whittier Heights,47.67947,-122.37196,Entire home/apt,81,2,889,160,0
8,Cozy Ballard Apartment,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,30,97,322,0
9,"Private Entry 180º Views City, Mountains & Lake",Eastlake,47.63815,-122.32344,Entire home/apt,195,7,1,46,0
10,"Modern, Light-Filled Fremont Flat",Fremont,47.65474,-122.35546,Entire home/apt,75,90,47,0,0
11,Suite+Office in Gorgeous View Home,Alki,47.57063,-122.4065,Private room,100,2,143,346,1
12,Teeny Tiny Guestyhouse!,Fremont,47.65244,-122.35108,Entire home/apt,85,3,455,320,0
13,Mother-in-Law Apartment in Seattle,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,0,0
14,Green Lake Guest Suite with Infrared Sauna,Green Lake,47.68205,-122.34275,Entire home/apt,176,3,326,155,0
15,Metrobilly Retreat,Harrison/Denny-Blaine,47.62023,-122.29142,Private room,65,30,163,173,1
16,Beautiful Water View Condo near UW + Eastlake!,Portage Bay,47.65062,-122.32008,Entire home/apt,249,30,46,6,0
17,Stunning Three Bedroom Historic Home at Seattle Center,Lower Queen Anne,47.62734,-122.35793,Entire home/apt,750,3,260,251,0
18,Seattle Phinney Ridge Ballard,Phinney Ridge,47.67757,-122.36172,Entire home/apt,300,30,28,338,0
19,"""The 5-Star House""  #9 The red room",Crown Hill,47.70085,-122.367,Private room,60,30,75,202,1
